theta_mrad,x_mslt_cm,x_fslt_cm
-11.3476,nan,nan
-7.9318,-0.63014,-1.45504
5.5482,0.54261,1.57526
-3.7715,-0.62448,nan
-2.0531,-0.32188,-0.59585
7.6442,0.27547,0.72864
19.0859,nan,nan
1.4857,0.14811,1.22541
5.0594,0.25051,1.29620
4.7024,0.30498,1.56037
1.2159,-0.10290,0.11056
6.1118,0.34688,1.58377
7.4431,0.64534,nan
-1.1401,-0.48644,-2.21306
-4.9380,-0.70677,nan
9.1453,0.43223,1.25600
-1.3334,-0.13277,0.39526
1.5226,-0.34744,-2.03814
-5.6863,-0.62751,-1.89825
7.9507,nan,nan
-7.0921,nan,nan
-45.6885,nan,nan
14.4097,nan,nan
12.5147,nan,nan
6.6667,0.19379,0.34304
6.4863,0.52730,1.93360
-18.9095,nan,nan
14.5650,nan,nan
2.2141,0.02500,0.39107
-1.9683,-0.18309,0.14467
-1.1380,-0.50080,nan
1.5508,-0.11089,0.10003
7.6362,nan,nan
6.2610,0.29036,1.15008
-12.9863,nan,nan
-7.4145,nan,nan
16.0330,nan,nan
-15.7246,nan,nan
-5.7997,-0.52796,-1.19243
12.1599,0.69509,1.78242
10.7130,0.70164,nan
16.5190,nan,nan
7.8394,0.64937,1.62832
11.0335,0.71563,1.91453
-10.8322,nan,nan
-7.5087,-0.71436,-2.02337
11.0664,nan,nan
8.1965,nan,nan
5.0378,0.17118,0.60298
13.3558,nan,nan
-9.2410,nan,nan
-1.4037,-0.19537,-0.01239
12.8288,nan,nan
12.1480,nan,nan
-13.4173,nan,nan
-20.1610,nan,nan
5.2363,-0.00413,-0.54770
1.2566,-0.14023,-0.39750
13.9930,nan,nan
8.6443,0.57251,1.88274
2.0075,-0.13237,-0.47729
2.3999,-0.29045,-1.57437
-22.5825,nan,nan
16.1307,nan,nan
-11.0246,nan,nan
-34.9130,nan,nan
7.4368,nan,nan
13.7079,nan,nan
-2.0499,-0.55874,nan
14.5336,nan,nan
10.3397,0.54258,1.48618
-5.5701,-0.47237,-0.86162
-7.7776,-0.71622,-1.66198
-13.7086,nan,nan
7.2393,nan,nan
-3.7926,-0.69110,nan
-0.9471,-0.49460,nan
-9.3564,nan,nan
-16.7176,nan,nan
-4.3698,-0.69653,nan
10.0520,0.46839,1.24909
1.3941,0.00173,0.60295
12.2231,nan,nan
-0.4452,-0.42029,-2.00643
4.3902,0.06159,0.05949
-3.5174,-0.44801,-1.38416
-13.9576,nan,nan
-4.6882,-0.42116,-0.59359
-3.0467,-0.31064,-0.21056
6.3120,0.57390,nan
-8.5590,nan,nan
-1.4268,-0.26533,-0.50557
9.2984,0.54297,1.68952
-13.3012,nan,nan
13.6164,nan,nan
3.2737,0.23924,1.38855
-12.3279,nan,nan
-10.4049,nan,nan
0.1992,0.03303,0.99005
3.7471,0.29057,1.63972
-5.9991,-0.55690,-1.22424
4.8052,-0.02672,-0.61226
12.9575,nan,nan
2.0075,0.06808,0.90211
5.4480,-0.08229,-1.13657
-3.9265,-0.63917,nan
2.4247,-0.24361,-1.40763
13.8360,nan,nan
8.0929,0.05667,-0.66746
-6.1365,-0.73389,nan
-12.6922,nan,nan
-18.3422,nan,nan
-0.3313,-0.14001,-0.03087
6.1182,-0.00613,-0.72103
2.2481,0.19567,1.41454
-13.2921,nan,nan
3.8781,-0.14908,-1.13050
-8.2800,nan,nan
-3.2465,-0.29836,-0.52541
0.9437,-0.15300,-0.36111
-7.6657,nan,nan
-1.6477,-0.13102,0.53626
-9.6220,nan,nan
-7.6454,-0.70586,-2.03255
-10.2834,nan,nan
8.3640,nan,nan
14.9508,nan,nan
17.6310,nan,nan
6.0886,0.43893,1.84543
-2.3537,-0.49594,-1.99795
11.1575,nan,nan
-0.4877,-0.40517,-1.83405
3.3546,nan,nan
-0.2604,-0.43854,-2.08372
-3.8944,-0.52119,-1.48898
2.0428,-0.29375,-1.79573
-2.6257,-0.51882,-1.94096
-13.9298,nan,nan
-13.8729,nan,nan
-7.0359,-0.61213,-1.21002
-10.8946,nan,nan
-4.7768,-0.58580,-1.65817
1.8346,-0.26502,-1.53240
-6.5400,nan,nan
-7.4132,nan,nan
-15.6170,nan,nan
8.7306,0.67165,1.76262
8.4742,nan,nan
1.8541,-0.24817,-1.28811
8.2974,nan,nan
0.7151,-0.06844,0.30894
9.8163,nan,nan
10.1445,nan,nan
17.4588,nan,nan
19.3897,nan,nan
-11.5082,nan,nan
-5.9554,-0.74601,nan
13.6362,nan,nan
