x_cm,y_cm,z_cm,bx_T,by_T,bz_T
    0.0000,   -3.0000,  -12.5000,  0.48824275E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,   -1.5000,  -12.5000,  0.25329064E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,    0.0000,  -12.5000, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
    0.0000,    1.5000,  -12.5000, -0.25329064E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,    3.0000,  -12.5000, -0.48824275E-03,  0.00000000E+00, -0.00000000E+00
    1.5000,   -3.0000,  -12.5000,  0.47023806E-03, -0.21713685E-03,  0.20312445E-03
    1.5000,   -1.5000,  -12.5000,  0.24407169E-03, -0.24407169E-03,  0.10399653E-03
    1.5000,    0.0000,  -12.5000, -0.00000000E+00, -0.25329064E-03, -0.00000000E+00
    1.5000,    1.5000,  -12.5000, -0.24407169E-03, -0.24407169E-03, -0.10399653E-03
    1.5000,    3.0000,  -12.5000, -0.47023806E-03, -0.21713685E-03, -0.20312445E-03
    3.0000,   -3.0000,  -12.5000,  0.41745840E-03, -0.41745840E-03,  0.39756021E-03
    3.0000,   -1.5000,  -12.5000,  0.21713685E-03, -0.47023806E-03,  0.20312445E-03
    3.0000,    0.0000,  -12.5000, -0.00000000E+00, -0.48824275E-03, -0.00000000E+00
    3.0000,    1.5000,  -12.5000, -0.21713685E-03, -0.47023806E-03, -0.20312445E-03
    3.0000,    3.0000,  -12.5000, -0.41745840E-03, -0.41745840E-03, -0.39756021E-03
   -3.0000,   -3.0000,  -10.0000,  0.82770550E-03,  0.82770550E-03, -0.68620095E-03
   -3.0000,   -1.5000,  -10.0000,  0.42660794E-03,  0.91567311E-03, -0.35550803E-03
   -3.0000,    0.0000,  -10.0000, -0.00000000E+00,  0.94700740E-03, -0.00000000E+00
   -3.0000,    1.5000,  -10.0000, -0.42660794E-03,  0.91567311E-03,  0.35550803E-03
   -3.0000,    3.0000,  -10.0000, -0.82770550E-03,  0.82770550E-03,  0.68620095E-03
   -1.5000,   -3.0000,  -10.0000,  0.91567311E-03,  0.42660794E-03, -0.35550803E-03
   -1.5000,   -1.5000,  -10.0000,  0.47328015E-03,  0.47328015E-03, -0.18477874E-03
   -1.5000,    0.0000,  -10.0000, -0.00000000E+00,  0.48993495E-03, -0.00000000E+00
   -1.5000,    1.5000,  -10.0000, -0.47328015E-03,  0.47328015E-03,  0.18477874E-03
   -1.5000,    3.0000,  -10.0000, -0.91567311E-03,  0.42660794E-03,  0.35550803E-03
    0.0000,   -3.0000,  -10.0000,  0.94700740E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,   -1.5000,  -10.0000,  0.48993495E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,    0.0000,  -10.0000, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
    0.0000,    1.5000,  -10.0000, -0.48993495E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,    3.0000,  -10.0000, -0.94700740E-03,  0.00000000E+00, -0.00000000E+00
    1.5000,   -3.0000,  -10.0000,  0.91567311E-03, -0.42660794E-03,  0.35550803E-03
    1.5000,   -1.5000,  -10.0000,  0.47328015E-03, -0.47328015E-03,  0.18477874E-03
    1.5000,    0.0000,  -10.0000, -0.00000000E+00, -0.48993495E-03, -0.00000000E+00
    1.5000,    1.5000,  -10.0000, -0.47328015E-03, -0.47328015E-03, -0.18477874E-03
    1.5000,    3.0000,  -10.0000, -0.91567311E-03, -0.42660794E-03, -0.35550803E-03
    3.0000,   -3.0000,  -10.0000,  0.82770550E-03, -0.82770550E-03,  0.68620095E-03
    3.0000,   -1.5000,  -10.0000,  0.42660794E-03, -0.91567311E-03,  0.35550803E-03
    3.0000,    0.0000,  -10.0000, -0.00000000E+00, -0.94700740E-03, -0.00000000E+00
