theta_mrad,x_mslt_cm,x_fslt_cm
-6.2920,nan,nan
13.6406,0.12188,0.57512
-14.5097,-0.25311,-0.03549
-6.8046,nan,nan
6.3147,nan,nan
-0.3636,0.10086,0.65878
5.3244,0.02037,0.36351
-9.6262,-0.07581,0.23624
3.4061,0.02214,0.35825
-3.4879,-0.17933,0.05588
-6.9955,-0.04682,0.20597
-0.9667,0.08380,0.44223
-18.5798,-0.23069,-0.05395
-8.2342,0.00411,0.10204
-14.9514,-0.07807,0.24506
6.3208,0.10561,0.43353
7.6832,0.12242,0.50414
-4.9350,-0.04784,0.15541
6.5002,0.01548,0.39038
6.3864,nan,nan
1.7389,-0.06863,0.22363
-7.8383,-0.14113,-0.04782
3.8855,0.05032,0.40694
2.4941,-0.13785,0.12189
8.4382,0.05977,0.40612
-6.6702,0.03101,0.32326
1.4313,-0.09078,0.19986
9.8312,0.15370,0.59941
-2.7506,-0.13525,-0.10801
9.2803,-0.07546,-0.07769
